,molecule_chembl_id,molecule_pref_name,canonical_smiles,pchembl_value,standard_type,standard_relation,standard_value,standard_units,potential_duplicate,target_pref_name,target_organism,assay_type,assay_description,chembl_id_duplicate,mean_pchembl_value,max_pchembl_value,min_pchembl_value,core_smiles,Mol,Scaffold
0,CHEMBL10,SB-203580,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,5.70,Kd,=,2000.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Binding constant for TYK2(JH2domain-pseudokinase) kinase domain,False,5.70,5.70,5.70,c1ccc(-c2nc(-c3ccccc3)c(-c3ccncc3)[nH]2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f46c0a496d0>,<rdkit.Chem.rdchem.Mol object at 0x7f46c0977890>
1,CHEMBL1076700,,Cc1cc(Nc2nc3cccc(-c4cc(F)c(CN5CCOCC5)c(F)c4)c3o2)ccc1C(=O)NCCCN(C)C,7.01,IC50,=,97.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of GST-tagged TYK2 assessed as inhibition of biotinylated IRS1 substrate phosphorylation after 60 mins by caliper mobility shift assay,False,7.01,7.01,7.01,c1ccc(Nc2nc3cccc(-c4ccc(CN5CCOCC5)cc4)c3o2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f46c0a49660>,<rdkit.Chem.rdchem.Mol object at 0x7f46c09777b0>
2,CHEMBL1078178,MOMELOTINIB,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,6.40,Kd,=,401.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.",False,6.40,6.40,6.40,c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f46c0a49820>,<rdkit.Chem.rdchem.Mol object at 0x7f46c0977900>
3,CHEMBL1080159,,Cc1cc(Nc2nc3cccc(-c4cc(F)c(CN5CCOCC5)c(F)c4)c3o2)ccc1C(=O)N(C)C,6.70,IC50,=,200.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of GST-tagged TYK2 assessed as inhibition of biotinylated IRS1 substrate phosphorylation after 60 mins by caliper mobility shift assay,False,6.70,6.70,6.70,c1ccc(Nc2nc3cccc(-c4ccc(CN5CCOCC5)cc4)c3o2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f46c0a49890>,<rdkit.Chem.rdchem.Mol object at 0x7f46c0977970>
4,CHEMBL1081290,,COc1cc(Nc2nc3cccc(-c4ccccc4)c3o2)cc(OC)c1OC,5.47,IC50,=,3400.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of GST-tagged TYK2 assessed as inhibition of biotinylated IRS1 substrate phosphorylation after 60 mins by caliper mobility shift assay,False,5.47,5.47,5.47,c1ccc(Nc2nc3cccc(-c4ccccc4)c3o2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f46c0a49900>,<rdkit.Chem.rdchem.Mol object at 0x7f46c09779e0>
5,CHEMBL1081443,,COc1cc(Nc2nc3cccc(-c4ccccn4)c3o2)cc(OC)c1OC,6.19,IC50,=,640.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of GST-tagged TYK2 assessed as inhibition of biotinylated IRS1 substrate phosphorylation after 60 mins by caliper mobility shift assay,False,6.19,6.19,6.19,c1ccc(Nc2nc3cccc(-c4ccccn4)c3o2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f46c0a49970>,<rdkit.Chem.rdchem.Mol object at 0x7f46c0977a50>
6,CHEMBL1081484,,COc1cc(Nc2nc3cccc(-c4ccc(C(=O)N5CCOCC5)c(F)c4)c3o2)cc(OC)c1OC,7.20,IC50,=,63.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of GST-tagged TYK2 assessed as inhibition of biotinylated IRS1 substrate phosphorylation after 60 mins by caliper mobility shift assay,False,7.20,7.20,7.20,O=C(c1ccc(-c2cccc3nc(Nc4ccccc4)oc23)cc1)N1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x7f46c0a499e0>,<rdkit.Chem.rdchem.Mol object at 0x7f46c0977ac0>
7,CHEMBL1081485,,COc1cc(Nc2nc3cccc(-c4ccc(CN5CCOCC5)cc4)c3o2)cc(OC)c1OC,6.51,IC50,=,310.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of GST-tagged TYK2 assessed as inhibition of biotinylated IRS1 substrate phosphorylation after 60 mins by caliper mobility shift assay,False,6.51,6.51,6.51,c1ccc(Nc2nc3cccc(-c4ccc(CN5CCOCC5)cc4)c3o2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f46c0a49a50>,<rdkit.Chem.rdchem.Mol object at 0x7f46c0977b30>
8,CHEMBL1081663,,CN(C)C(=O)c1ccc(Nc2nc3cccc(-c4ccc(C(=O)N5CCOCC5)cc4)c3o2)cc1,6.14,IC50,=,730.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of GST-tagged TYK2 assessed as inhibition of biotinylated IRS1 substrate phosphorylation after 60 mins by caliper mobility shift assay,False,6.14,6.14,6.14,O=C(c1ccc(-c2cccc3nc(Nc4ccccc4)oc23)cc1)N1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x7f46c0a49ac0>,<rdkit.Chem.rdchem.Mol object at 0x7f46c0977ba0>
9,CHEMBL1081975,,COc1cc(Nc2nc3cccc(-c4ccc5ncccc5c4)c3o2)cc(OC)c1OC,5.85,IC50,=,1400.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of GST-tagged TYK2 assessed as inhibition of biotinylated IRS1 substrate phosphorylation after 60 mins by caliper mobility shift assay,False,5.85,5.85,5.85,c1ccc(Nc2nc3cccc(-c4ccc5ncccc5c4)c3o2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f46c0a49b30>,<rdkit.Chem.rdchem.Mol object at 0x7f46c0977c10>
10,CHEMBL1081976,,COc1cc(Nc2nc3cccc(-c4cccc(NS(C)(=O)=O)c4)c3o2)cc(OC)c1OC,5.44,IC50,=,3600.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of GST-tagged TYK2 assessed as inhibition of biotinylated IRS1 substrate phosphorylation after 60 mins by caliper mobility shift assay,False,5.44,5.44,5.44,c1ccc(Nc2nc3cccc(-c4ccccc4)c3o2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f46c0a49ba0>,<rdkit.Chem.rdchem.Mol object at 0x7f46c0977c80>
